title,address,lat,lng,link,category,body
Boston Veg Food Fest,"Boston, MA, USA",,,http://www.bostonveg.org/foodfest/,outdoor,map
Festival végane de Montréal,"Montreal, QC, CANADA",,,http://festivalveganedemontreal.com/en/,outdoor,map
VegFest NL,"Utrecht, NETHERLANDS",,,www.vegfest.nl,outdoor,map
Vegan Festival Adelaide,"Adelaide, AUSTRALIA",,,https://veganfestival.info/,outdoor,map
World Veg Festival,"San Francisco, CA, USA",,,http://www.worldvegfestival.com/,outdoor,map
VegFestUK London,"London, UK",,,http://london.vegfest.co.uk/,outdoor,map
Texas Veggie Fair,"Dallas, TX, USA",,,http://www.texasveggiefair.com/,outdoor,map
Hampton Roads VegFest,"Chesapeake, VA, USA",,,http://www.hamptonroadsvegfest.com/,outdoor,map
Seed Food and Wine Festival,"Miami, FL, USA",,,http://www.seedfoodandwine.com/,outdoor,map
Bath Vegan Festival,"Bath, UK",,,n/a,outdoor,map
North East Vegan Festival (NEVFEST),"Sunderland, UK",,,http://www.northeastveganfestival.co.uk/,outdoor,map
Hudson Valley Vegfest,"Poughkeepsie, NY, USA",,,http://www.hvvegfest.org/,outdoor,map
SouthWest Veg Fest,"Phoenix, AZ, USA",,,https://www.swvegfest.com/,outdoor,map
Glasgow Vegan Festival,"Glasgow, SCOTLAND",,,n/a,outdoor,map
VegFest London,"London, ON, CANADA",,,http://www.vegfestlondon.com/,outdoor,map
Atlanta Veg Fest,"Atlanta, GA, USA",,,http://atlantavegfest.com/,outdoor,map
Palm Beach VegFest,"Palm Beach, FL, USA",,,https://www.pbvegfest.com/,outdoor,map
VegOut! Tucson,"Scottsdale, AZ, USA",,,http://vegoutevents.com/,outdoor,map
Sydney Cruelty Free Festival,"Sydney, AUSTRALIA",,,http://crueltyfreefestival.org.au/,outdoor,map
Manchester Vegan Christmas Market,"Manchester, UK",,,TK,outdoor,map
Southampton Vegan Festival,"Southampton, UK",,,https://www.southamptonveganfestival.co.uk,outdoor,map
Space Coast VegFest,"Cocoa Village, FL, USA",,,http://spacecoastvegfest.org/,outdoor,map
VegFest Fort Lauderdale,"Fort Lauderdale, FL, USA",,,http://vegfestexpos.com,outdoor,map
VegFest Pilipinas,"Manila, PHILIPPINES",,,http://www.vegfestpilipinas.com,outdoor,map
Charlotte Vegfest,"Charlotte, NC, USA",,,http://www.charlottevegfest.com/,outdoor,map
Croatian Veganmania,"Zagreb, CROATIA",,,zegevege.com,outdoor,map
VegFest Windsor,"Windsor, ON, CANADA",,,www.vegfestwindsor.ca,outdoor,map
Hudson Valley Vegan Food Festival,"Newburgh, NY, USA",,,TK,outdoor,map
Absolutely Fabulous Vegan Festival,"Aberystwyth, UK",,,n/a,outdoor,map
Curacao Vegan Food Fest Christmas,"Willemstad, CURACAO",,,n/a,outdoor,map
FarGo’s Vegan Festival: Cruelty Free Christmas,"Fargo Village, Coventry, UK",,,n/a,outdoor,map
Hull Vegan Festival,"Hull, UK",,,n/a,outdoor,map
Kettering Vegan Festival,"Kettering, UK",,,n/a,outdoor,map
Long Island Vegan Food and Information Extravaganza,"Huntington Station, NY, USA",,,n/a,outdoor,map
Manchester Vegan Food and Drink Festival,"Manchester, UK",,,n/a,outdoor,map
Saigon Vegan Festival,"Ho Chi Minh City, VIETNAM",,,n/a,outdoor,map
Taiwan Vegan Frenzy,"Taipei, TAIWAN",,,n/a,outdoor,map
West Yorkshire Vegan Festival,"Dewsbury, UK",,,https://www.westyorkshireveganfestival.com,outdoor,map
VegeQ,"Hoofddorp, NETHERLANDS",,,https://www.veggiefair.nl,outdoor,map
Veggie Fair ,"Hoofddorp, NETHERLANDS",,,https://www.veggiefair.nl,outdoor,map
VFP Vegan Festival,"Brighton, UK",,,https://www.veganfoodpimp.com/vfp-vegan-festival-2017,outdoor,map
Central Manchester Vegan Fair,"Manchester, UK",,,https://www.northernveganfestival.com,outdoor,map
Iowa Vegfest,"Windsor Heights, IA, USA",,,https://www.iowavegfest.com/,outdoor,map
Bluegrass VegFest ,"Louisville, KY, USA",,,https://www.bluegrassvegfest.com/,outdoor,map
Philly SEED Fest,"Philadelphia, PA, USA",,,https://phillyseed.com,outdoor,map
BoEtico VeganFestival,"Bologna, ITALY",,,https://boeticoveganfest.wordpress.com/,outdoor,map
WNY Vegfest,"Buffalo, NY, USA",,,http://www.wnyvegfest.com/,outdoor,map
Veg Fest Vancouver,"Vancouver, BC, CANADA",,,TK,outdoor,map
Hong Kong Vegfest,"Hong Kong SAR, CHINA",,,TK,outdoor,map
VegFest Brasil,"Campos do Jordão, BRAZIL",,,c,outdoor,map
Leeds Ethical Christmas Market,"Leeds, UK",,,http://www.veganwinterfest.co.uk/,outdoor,map
Manchester Vegan Fair,"Manchester, UK",,,http://www.veganorganic.net/,outdoor,map
San Diego Veg Festival,"San Diego, CA, USA",,,http://www.sandiegovegfest.com/,outdoor,map
Living Green Festival,"Canberra, ACT, AUSTRALIA",,,http://www.livinggreenfestival.org.au/,outdoor,map
Lagos Veg Fest,"Lagos, NIGERIA",,,TK,outdoor,map
Bournemouth Vegan Fair,"Bournemouth, UK",,,http://www.dorsetveganevents.co.uk/bournemouth-vegan-fair,outdoor,map
Poole Vegan Fair,"Poole, Dorset, UK",,,http://www.dorsetvegan.co.uk/poole-vegan-fair.html,outdoor,map
Compassionfest Vegan Holiday Bazaar,"Hamden, CT, USA",,,http://www.compassionfest.net/,outdoor,map
Care Vegan Festival aka Chester County Vegan Festival,"West Chester, PA, USA",,,TK,outdoor,map
Central Florida Veg Fest ,"Orlando, FL, USA",,,http://www.cfvegfest.org/,outdoor,map
Columbus Vegfest,"Columbus, OH, USA",,,http://www.cbusvegfest.com/,outdoor,map
Alaska VegFest,"Anchorage, AK, USA",,,http://www.alaskavegfest.com/,outdoor,map
VegFest Oahu,"Honolulu, HI, USA",,,http://vegfestoahu.com/,outdoor,map
Vegan Summer Festival London,"London, UK",,,http://vegansummerfestuk.com/,outdoor,map
VON Manchester VEGAN FEST,"Manchester, UK",,,http://veganorganic.net/von-manchester-vegan-fest-2/,outdoor,map
Evesham Vegan Fair,"Evesham, UK",,,http://veganmidlands.org.uk,outdoor,map
Edinburgh Ethical WinterFest,"Edinburgh, SCOTLAND",,,http://veganfestival.co.uk/,outdoor,map
Mad City Vegan Fest,"Madison, WI, USA",,,http://veganfest.org/,outdoor,map
Baltimore VegFest,"Baltimore, MD, USA",,,TK,outdoor,map
Tampa Bay VegFest,"Tampa, FL, USA",,,http://tampabayvegfest.org/,outdoor,map
Lex Veg Fest,"Lexington, KY, USA",,,http://lexvegfest.org/,outdoor,map
Fargo Moorhead VegFest,"Moorhead, MN, USA",,,TK,outdoor,map
Dundee Vegan Fest,"Dundee, UK",,,http://dundeeveganfestival.co.uk,outdoor,map
NOLA Veggie Fest,"New Orleans, LA, USA",,,http://nolaveggiefest.com/,outdoor,map
